,0
0,n02085936-Maltese_dog
1,n02088094-Afghan_hound
2,n02092002-Scottish_deerhound
3,n02112018-Pomeranian
4,n02107683-Bernese_mountain_dog
5,n02111889-Samoyed
6,n02090721-Irish_wolfhound
7,n02086240-Shih-Tzu
8,n02111500-Great_Pyrenees
9,n02111129-Leonberg
10,n02110806-basenji
11,n02097474-Tibetan_terrier
12,n02108000-EntleBucher
13,n02095889-Sealyham_terrier
14,n02096051-Airedale
15,n02110958-pug
16,n02091831-Saluki
17,n02095570-Lakeland_terrier
18,n02096177-cairn
19,n02086910-papillon
20,n02112137-chow
21,n02091467-Norwegian_elkhound
22,n02096294-Australian_terrier
23,n02088364-beagle
24,n02111277-Newfoundland
25,n02110185-Siberian_husky
26,n02086646-Blenheim_spaniel
27,n02091244-Ibizan_hound
28,n02091134-whippet
29,n02088466-bloodhound
30,n02098413-Lhasa
31,n02094258-Norwich_terrier
32,n02085782-Japanese_spaniel
33,n02107312-miniature_pinscher
34,n02097658-silky_terrier
35,n02091032-Italian_greyhound
36,n02096585-Boston_bull
37,n02093647-Bedlington_terrier
38,n02113023-Pembroke
39,n02096437-Dandie_Dinmont
40,n02093859-Kerry_blue_terrier
41,n02110063-malamute
42,n02088238-basset
43,n02094114-Norfolk_terrier
44,n02087394-Rhodesian_ridgeback
45,n02087046-toy_terrier
46,n02093754-Border_terrier
47,n02088632-bluetick
48,n02099712-Labrador_retriever
49,n02109525-Saint_Bernard
50,n02105641-Old_English_sheepdog
51,n02098286-West_Highland_white_terrier
52,n02093991-Irish_terrier
53,n02116738-African_hunting_dog
54,n02107574-Greater_Swiss_Mountain_dog
55,n02099849-Chesapeake_Bay_retriever
56,n02094433-Yorkshire_terrier
57,n02093428-American_Staffordshire_terrier
58,n02100735-English_setter
59,n02092339-Weimaraner
